Test Type,Section,Item,Status,Details,Evidence
Summary,Results By Test Type,Smoke,pass,,smoke.md (./smoke.md)
Summary,Results By Test Type,Sanity,not applicable to this run's scope,,—
Summary,Results By Test Type,Regression,pass (no run-attributable regression; 49 pre-existing portal failures named),,regression.md (./regression.md)
Summary,Results By Test Type,Integration,pass (2 deliberate live gaps covered by suites),,integration.md (./integration.md)
Summary,Results By Test Type,Unit,pass (1 hardening recommendation),,unit.md (./unit.md)
Summary,Results By Test Type,Security,"pass (0 critical, 0 high; 2 medium + 2 low follow-ups)",,security.md (./security.md)
Summary,Results By Test Type,Performance,pass (p95 22 ms vs 10 s dev target),,performance.md (./performance.md)
Summary,Results By Test Type,Load,"pass at smoke+average (p95 57.5 ms, 0 failures); stress/soak not run",,load.md (./load.md)
Summary,Results By Test Type,Accessibility,fail (2 serious violations on the new primary screen),,accessibility.md (./accessibility.md)
Summary,Results By Test Type,Demo & Fixture Hygiene,pass (clean),,demo-fixture-hygiene.md (./demo-fixture-hygiene.md)
Summary,Results By Test Type,Code Quality,not requested,,—
Summary,Release Gate,Release Gate Decision,fail,,
Summary,Follow-Up Work,Fix A11Y-01: raise small-text caption to a ≥4.5:1 token (or add an on-primary/ink token),,Owner: Portal; Priority: blocking; Required Before: re-gate,
Summary,Follow-Up Work,Fix A11Y-02: export metadata.title (and landmark/region naming) from root layout,,Owner: Portal; Priority: blocking; Required Before: re-gate,
Summary,Follow-Up Work,Add prefers-reduced-motion guard; bring entrance ≤300 ms; promote 5× #fff literals to a token,,Owner: Portal; Priority: normal; Required Before: next release,
Summary,Follow-Up Work,Contract-history loading skeleton (empty state flashes before data arrives),,Owner: Portal; Priority: low; Required Before: next release,
Summary,Follow-Up Work,SEC-001 (medium): gate connection test on network evidence; constrain PG host; rate-limit; unify failure signals,,Owner: Security/Backend; Priority: high; Required Before: next release,
Summary,Follow-Up Work,SEC-002 (medium): validator default-deny on */unresolvable columns + negative tests,,Owner: Backend; Priority: high; Required Before: before external-PG chat is wired to any caller,
Summary,Follow-Up Work,SEC-003/SEC-004 (low): locking-clause + literal + OFFSET hardening; body-size cap on contract upload,,Owner: Backend; Priority: normal; Required Before: next release,
Summary,Follow-Up Work,"Fix 49 pre-existing portal test failures (stale counts/text, incl. business_user nav count)",,Owner: Portal; Priority: normal; Required Before: next release,
Summary,Follow-Up Work,Tune telemetry_scan.py UUID-fragment false positives; re-run --skip-flow to green,,Owner: Security/Ops; Priority: normal; Required Before: next release,
Summary,Follow-Up Work,Dependency CVE reachability undetermined here (no scanners/lockfile) — run pip-audit/npm audit in CI,,Owner: Security; Priority: normal; Required Before: next release,
Summary,Follow-Up Work,Stress/soak not measured (small dev box) — measure on a production-sized rung before any shared environment,,Owner: QA/Ops; Priority: normal; Required Before: staging gate,
Summary,Follow-Up Work,Live second-tenant isolation probe + write-path lifecycle exercise (deliberately skipped to avoid demo pollution),,Owner: QA; Priority: low; Required Before: staging gate,
Smoke,Results,GET /health,pass,"Expected: ok with reachable database; Observed: {""status"":""ok"",""dependencies"":{""database"":{""status"":""healthy"",""detail"":""reachable""}}}",deployment record + live curl
Smoke,Results,GET /health/live,pass,"Expected: ok; Observed: {""status"":""ok""}",live curl
Smoke,Results,Portal root http://localhost:3000/,pass,"Expected: HTTP 200, renders; Observed: HTTP 200; renders ""NER Platform"" shell",live curl + ../evidences/tenant-self-service-data-sources-20260909-2/accessibility/login.png
Smoke,Results,GET /api/v1/data-sources without token,pass,"Expected: 401, no data; Observed: 401 AUTH_ERROR with request id, no data",live curl
Smoke,Results,Seeded tenant-admin login,pass,Expected: bearer token issued; Observed: accesstoken + user admin@democorp.io / tenantadmin / demo-tenant,live API (token kept in memory only)
Smoke,Results,GET /api/v1/data-sources as tenant admin,pass,"Expected: 200 safe ConnectionPage; Observed: 200 empty page (total: 0), names/outcomes only, no secret material",live API
Smoke,Results,Data Sources page as tenant admin,pass,"Expected: list renders, empty state; Observed: renders with search/provider/status filters, ""No data sources yet"", sidebar entry present",../evidences/tenant-self-service-data-sources-20260909-2/accessibility/data-sources.png
Regression,Results,"Change-set Python suites (testtenantdatasourcecontrolplane, testexternalpostgresqlchat, testazureblobsourcesync, testingestionboundary, testlocalcomposedeliveryevidence)",pass,Expected: all pass; Observed: 107 passed in 26.5s,pytest output
Regression,Results,"Portal data-sources scope (lib/data-sources, hooks/use-data-sources, app/(auth)/settings/data-sources, components/data-sources, lib/nav-config)","fail (pre-existing, see below)",Expected: all pass; Observed: 44 passed / 1 failed of 45,vitest output
Regression,Results,nav-config.test.ts business_user count,"fail — pre-existing, not a regression: git show a6143e6^:nav-config.ts has the same 4-item businessuser branch, and CAP-5's diff touched only the tenantadmin branch",Expected: 5 items; Observed: 4 items,git show a6143e6
Regression,Results,sidebar.test.tsx 6 failures,vitest output + Sidebar.tsx,"Expected: pass; Observed: fail — pre-existing, not a regression: failures assert stale text (Documents vs current Uploaded Documents); the file has no data-sources selector and no count CAP-5 could break",
Regression,Results,"Remaining portal failures (annotation, dark-mode, layout-preference, documents, entity-types, training-jobs — 42 more)",vitest output + change-set file list,"Expected: pass; Observed: fail — pre-existing, outside change set: none of these files were touched by CAP-2..CAP-6 (git diff --name-only 60db8d0^..4dd49e5, 73 files)",
Regression,Results,Live compatibility: platform upload/chat routes still registered,pass,"Expected: present; Observed: 44 paths in live /openapi.json, pre-existing routes intact",live /openapi.json
Regression,Results,Live compatibility: unauthenticated platform surface unchanged,pass,Expected: 401 envelope; Observed: POST /api/v1/chat without token returns 401,live curl
Integration,Results,GET /api/v1/data-sources list contract,pass,"Expected: safe ConnectionPage (items/page/pagesize/total/totalpages/sort/order); Observed: exact shape, total: 0, sort: last_activity, order: desc",live API
Integration,Results,Pagination bounds,pass,Expected: page_size 1–100; Observed: pagesize=200 returns 422 INVALIDREQUEST ('page_size' must be 1-100),live API
Integration,Results,Closed query grammar,pass,Expected: unknown fields rejected; Observed: ?bogus=1 returns 422 INVALID_REQUEST (not accepted query parameter),live API
Integration,Results,"Single-record lookup, malformed id",pass,"Expected: safe 404, no metadata; Observed: /not-a-uuid returns 404 CONNECTIONNOTFOUND with request id",live API
Integration,Results,Auth boundary,pass,"Expected: no token means no data; Observed: 401 AUTH_ERROR; wrong-shaped JSON login returns validation detail, no stack",live API
Integration,Results,CAP-2 lifecycle + CAP-4 contract routes live,pass,"Expected: 9 routes in OpenAPI; Observed: /api/v1/data-sources, /{id}, /test, /activate, /pause, /replace, /retire, /{id}/contracts, /contracts/{version}/publish all registered (44 paths total)",live /openapi.json
Integration,Results,Migration chain 038–042,pass,"Expected: linear, single head, healthy post-deploy; Observed: deployer verified: stamp 037→042, Schema verification passed: no drift, 20/20 services Up",docs/deploy/tenant-self-service-data-sources-20260909-2-dev.md
Integration,Results,Tenant isolation at runtime,not run (covered by suite),Expected: cross-tenant id yields 404; Observed: covered by unit/integration tests (38 control-plane tests incl. isolation negatives); not re-proven live — doing so needs two tenants' JWTs and was not attempted,tests/testtenantdatasourcecontrol_plane.py
Integration,Results,Write-path lifecycle live (create/test/activate/pause/replace/retire),not run (deliberate; suite covers),Expected: exercised; Observed: not exercised live — creating junk connections would pollute the demo tenant; covered by the 38 passing control-plane tests including idempotency replay/key-reuse and ACTIVEPROVIDEREXISTS races,same suite
Integration,Results,Azure live sync / external-PG drift against real tenants,not applicable,Expected: active capability; Observed: inactive by design: run.provisioning defers both Azure test resources (skip); capabilities stay inactive until approved resources and activation evidence exist,.ralph/state.json provisioning
Unit,Results,"Control plane (service/store/resolver/lifecycle/providers/testing, gateway routes)",,"Current Coverage: 38/38 pass; Missing Case: none; Test Added/Recommended: none — includes idempotency replay/key-reuse, lifecycle transitions, tenant scoping negatives",
Unit,Results,Blob sync + ingestion boundary,,"Current Coverage: 26/26 pass (within combined 107); Missing Case: none; Test Added/Recommended: none — idempotency, replacement, deleted-source hiding covered",
Unit,Results,External-PG chat (validator/connector/drift/contract/index),,"Current Coverage: 98-file module pass (within combined 107); Missing Case: validator hardening for SELECT / alias. / unresolvable columns (SEC-002) and locking-clause/literal/OFFSET gaps (SEC-003); Test Added/Recommended: recommended: default-deny bare , expand alias. against contract columns, reject locking clauses, cap OFFSET",
Unit,Results,"Delivery evidence (migration chain, compose contract, metric labels, perf fixture)",,Current Coverage: 107-module pass incl. 10-sequential fixture check; Missing Case: none; Test Added/Recommended: none,
Unit,Results,Portal data-sources (pages/components/hooks/lib),,Current Coverage: 44/45 pass; Missing Case: business_user nav count is a stale pre-existing expectation (4 items before and after CAP-5); Test Added/Recommended: fix the stale test to 4 (out of scope for this gate; recorded as follow-up),
Unit,Results,Portal remainder,,Current Coverage: 658 passed / 49 failed workspace-wide; all 49 pre-existing and outside the change set; Missing Case: tracked above; Test Added/Recommended: follow-up only,
Security,Findings,SEC-001 — pre-activation connection test dials arbitrary host:port (SSRF oracle: passed vs connectionfailed vs tlsvalidation_failed),medium,"Entry Point: POST /api/v1/data-sources (azurepostgresql host/port) then POST …/{id}/test via service.py:testconnection → testing.py:75 socket.create_connection; Exploitability: reachable by design, bounded to authenticated tenant admins; Remediation: gate test on network_approved evidence; constrain host to Azure/public names or egress proxy; per-tenant rate limit; unify failure signals",src/shared/data_sources/testing.py:66-88; route live in /openapi.json; requires tenant-admin JWT; no data/credentials returned
Security,Findings,"SEC-002 — validator accepts SELECT / alias. / unresolvable columns, defeating contract column allowlist",medium,"Entry Point: future statement input to executeexternalquery (today only externalchatanswer, which has no callers — dead code as deployed); Exploitability: not reachable as deployed; blast radius when wired is the tenant's own external DB (server-side per-tenant resolution holds); Remediation: default-deny bare ; expand alias. against contract columns; reject unresolvable qualifiers; add negative tests",src/shared/external_postgres/validator.py:285-316
Security,Findings,SEC-003 — validator gaps: FOR UPDATE/SHARE not rejected; dollar-quoted literals bypass literal scan; unbounded OFFSET,low,Entry Point: same future entry as SEC-002; Exploitability: not reachable as deployed; Remediation: reject locking clauses; normalize/reject dollar-quoting; cap OFFSET,"same file, lines 139-142 + clamp_limit"
Security,Findings,SEC-004 — contract upload parses unbounded JSON body before validation (transient worker memory/CPU),low,"Entry Point: POST …/{id}/contracts via externalpgcontracts.py:98-104 (await request.body() + json.loads, no cap); requires tenant-admin JWT; Exploitability: reachable by inspection, transient availability only; Remediation: route/global body-size limit (e.g. 64–256 KB) returning 413 before parsing",code inspection; route live
Performance,Results,10 sequential authenticated GET /api/v1/data-sources (single tenant),pass,"NFR Target: p95 ≤ 10 s, 0% errors (dev target); Observed: min 20 ms, p50 21 ms, p95 22 ms, max 23 ms, 10/10 ok",probe run (script removed after run; values logged)
Performance,Results,Filtered list (provider/status/sort/order/page/page_size),pass,NFR Target: same envelope; Observed: 200 in 49 ms,live API
Performance,Results,Health under idle,pass,"NFR Target: healthy; Observed: /health ok, DB reachable; /health/live ok",live curl
Performance,Results,Blob sync durability shape,pass,NFR Target: no unbounded request task; durable worker path; Observed: design + scheduler/ledger implementation; manual/scheduled/catch-up covered by 26 passing tests,code + suite
Load,Results,checks,pass,SLO: all pass; Observed: 8154/8154 (100%),
Load,Results,httpreqfailed,pass,SLO: < 1%; Observed: 0.00% (0/5436),
Load,Results,httpreqduration p95,pass,"SLO: < 10 000 ms; Observed: avg 33.0 ms, med 28.9 ms, p90 53.8 ms, p95 57.5 ms, max 731.8 ms",
Load,Results,throughput,no target,SLO: no target; Observed: 5436 reqs at 60.3/s,
Accessibility,Results,"Data Sources (SCR-1, tenant admin)",fail — blocking (A11Y-01),"Rule: color-contrast (WCAG 1.4.3; baseline color-contrast-minimum); Impact: serious; Element: sidebar user-badge caption button[aria-haspopup] > div > div — color: var(--ink-3) (#94a3b8, ~2.9:1 on white) at 10 px, src/portal/src/components/app-shell/Sidebar.tsx via tokens.css:40",axe.json + data-sources.png
Accessibility,Results,Data Sources (SCR-1),fail — blocking (A11Y-02),"Rule: document-title; Impact: serious; Element: <html lang=""en""> with empty/missing <title> (src/portal/src/app/layout.tsx exports no metadata)",axe.json
Accessibility,Results,Data Sources (SCR-1),pass,"Rule: rest of WCAG 2.1 AA; Impact: —; Element: 22 passes, no other violations",axe.json
Accessibility,Results,Login (signed out),fail (same root causes as above; login is not a new screen),"Rule: document-title / landmark-one-main / region; Impact: serious / moderate / moderate; Element: app shell lacks <title>, <main>, region names",axe.json + login.png
Accessibility,Results,Static verify (ui-ux-governor),pass with advisories,"Rule: labels, focus, keyboard, safe-shape, states, form validation, P0 anti-slop, token import; Impact: —; Element: pass with notes: 5× #fff on-primary literals worth promoting to a token; contract-history shows empty state while loading; 350 ms entrance exceeds 300 ms budget; no prefers-reduced-motion guard anywhere (Approve, no Block)",verify verdict in summary
